year,imdb,title,Director,director_gender,Writer,writer_gender,Star,star_gender,test,clean_test,binary,budget,domgross,intgross,code,budget_2013$,domgross_2013$,intgross_2013$,period code,decade code,Director Gender,Director Age
1995,tt0112642,Casper,Brad Silberling,M,Joseph Oriolo,M,Bill Pullman,M,ok,ok,1,55000000,100328194,282300000,1995PASS,84082870,153379682,431574441,4,3,,
2000,tt0162222,Cast Away,Robert Zemeckis,M,William Broyles Jr.,M,Tom Hanks,M,notalk,notalk,0,85000000,233632142,427230516,2000FAIL,114997212,316082883,578003746,3,2,,
1982,tt0083722,Cat People,Paul Schrader,M,DeWitt Bodeen,M,Nastassja Kinski,F,ok,ok,1,12500000,7000000,21000000,1982PASS,30165850,16892876,50678628,,,,
2002,tt0264464,Catch Me If You Can,Steven Spielberg,M,Jeff Nathanson,M,Leonardo DiCaprio,M,notalk-disagree,notalk,0,52000000,164606800,351106800,2002FAIL,67349319,213195306,454746230,3,2,,
1997,tt0118829,Cats Don&#39;t Dance,Mark Dindal,M,Mark Dindal,M,Scott Bakula,M,ok,ok,1,32000000,3588602,3588602,1997PASS,46439620,5207916,5207916,4,3,,
2004,tt0327554,Catwoman,Pitof,M,Bob Kane,M,Halle Berry,F,ok,ok,1,100000000,40202379,82145379,2004PASS,123319288,49577287,101301096,3,2,,
2000,tt0173716,Cecil B. Demented,John Waters,M,John Waters,M,Melanie Griffith,F,ok,ok,1,10000000,1276984,1953882,2000PASS,13529084,1727642,2643423,3,2,,
2004,tt0337921,Cellular,David R. Ellis,M,Larry Cohen,M,Kim Basinger,F,ok,ok,1,45000000,32003620,61475984,2004PASS,55493679,39466636,75811746,3,2,,
2000,tt0210616,Center Stage,Nicholas Hytner,M,Carol Heikkinen,F,Amanda Schull,F,ok,ok,1,18000000,17200925,17200925,2000PASS,24352351,23271276,23271276,3,2,,
2010,tt1020558,Centurion,Neil Marshall,M,Neil Marshall,M,Michael Fassbender,M,notalk,notalk,0,15000000,123570,6623570,2010FAIL,16023478,132001,7075508,1,1,,
1996,tt0115857,Chain Reaction,Andrew Davis,M,Arne Schmidt,F,Keanu Reeves,M,notalk,notalk,0,55000000,21226204,60209334,1996FAIL,81684071,31524414,89420791,4,3,,
2008,tt0824747,Changeling,Clint Eastwood,M,J. Michael Straczynski,M,Angelina Jolie,F,ok,ok,1,55000000,35739802,113805580,2008PASS,59524097,38679626,123166807,2,2,,
2005,tt0367594,Charlie and the Chocolate Factory,Tim Burton,M,Roald Dahl,M,Johnny Depp,M,ok,ok,1,150000000,206459076,474459076,2005PASS,178954969,246312517,566045396,2,2,,
2007,tt0423977,Charlie Bartlett,Jon Poll,M,Gustin Nash,M,Anton Yelchin,M,men,men,0,12000000,3950294,5295909,2007FAIL,13482522,4438327,5950184,2,2,,
2010,tt1438254,Charlie St. Cloud,Burr Steers,M,Craig Pearce,M,Zac Efron,M,notalk-disagree,notalk,0,44000000,31206263,48478084,2010FAIL,47002201,33335524,51785833,1,1,,
2007,tt0472062,Charlie Wilson&#39;s War,Mike Nichols,M,Aaron Sorkin,M,Tom Hanks,M,ok,ok,1,75000000,66661095,119512771,2007PASS,84265761,74896639,134277795,2,2,,
2000,tt0160127,Charlie&#39;s Angels,McG,M,Ryan Rowe,M,Cameron Diaz,F,ok,ok,1,90000000,125305545,259736090,2000PASS,121761754,169526922,351399133,3,2,,
2003,tt0305357,Charlie&#39;s Angels: Full Throttle,McG,M,Ivan Goff,M,Drew Barrymore,F,ok,ok,1,120000000,100814328,227200000,2003PASS,151930435,127639706,287654957,3,2,,
1997,tt0118842,Chasing Amy,Kevin Smith,M,Kevin Smith,M,Ben Affleck,M,ok,ok,1,250000,12006514,15155095,1997PASS,362810,17424311,21993652,4,3,,
2008,tt0892255,Che: Part One,Steven Soderbergh,M,Peter Buchman,M,Julia Ormond,F,notalk,notalk,0,58000000,293708,30118557,2008FAIL,62770866,317867,32595998,2,2,,
2012,tt1991245,Chernobyl Diaries,Bradley Parker,M,Oren Peli,M,Jesse McCartney,M,notalk,notalk,0,1000000,18119640,38390020,2012FAIL,1014639,18384886,38951995,1,1,,
2002,tt0299658,Chicago,Rob Marshall,M,Bill Condon,M,Renée Zellweger,F,ok,ok,1,30000000,170687518,307687518,2002PASS,38855376,221070926,398510478,3,2,,
2000,tt0120630,Chicken Run,Peter Lord,M,Peter Lord,M,Mel Gibson,M,ok,ok,1,42000000,106793915,227793915,2000PASS,56822152,144482383,308184297,3,2,,
1988,tt0094862,Child&#39;s Play,Lars Klevberg,M,Tyler Burton Smith,M,Tim Matheson,M,ok,ok,1,9000000,33244684,44196684,1988PASS,17726823,65480292,87051866,,,,
1990,tt0099253,Child&#39;s Play 2,John Lafia,M,Don Mancini,M,Alex Vincent,M,ok,ok,1,13000000,26904572,34166572,1990PASS,23178680,47970190,60918157,5,3,,
2006,tt0206634,Children of Men,Alfonso Cuarón,M,Alfonso Cuarón,M,Julianne Moore,F,ok,ok,1,76000000,35552383,69450202,2006PASS,87840522,41091314,80270290,2,2,,
2009,tt1352824,Chloe,Atom Egoyan,M,Erin Cressida Wilson,F,Julianne Moore,F,men-disagree,men,0,13000000,3075255,9675172,2009FAIL,14114511,3338902,10504640,2,2,,
2000,tt0241303,Chocolat,Claire Denis,F,Claire Denis,F,Isaach De Bankolé,M,ok,ok,1,25000000,71309760,152500343,2000PASS,33822710,96475572,206318992,3,2,,
2012,tt1706593,Chronicle,Josh Trank,M,Max Landis,M,Dane DeHaan,M,notalk,notalk,0,12000000,64575175,127075175,2012FAIL,12175663,65520463,128935373,1,1,,
1997,tt0128996,Cinderella,Kenneth Branagh,M,Chris Weitz,M,Lily James,F,ok,ok,1,2900000,85000000,85000000,1997PASS,4208591,123355241,123355241,4,3,,
2005,tt0352248,Cinderella Man,Ron Howard,M,Cliff Hollingsworth,M,Russell Crowe,M,men,men,0,88000000,61649911,108539911,2005FAIL,104986915,73550386,129491710,2,2,,
2008,tt0970411,City of Ember,Gil Kenan,M,Caroline Thompson,F,Saoirse Ronan,F,ok,ok,1,38000000,7871693,11817059,2008PASS,41125740,8519189,12789087,2,2,,
2010,tt0800320,Clash of the Titans,Louis Leterrier,M,Travis Beacham,M,Sam Worthington,M,dubious,dubious,0,125000000,163214888,493214888,2010FAIL,133528980,174351340,526867848,1,1,,
2006,tt0424345,Clerks II,Kevin Smith,M,Kevin Smith,M,Brian O'Halloran,M,dubious,dubious,0,5000000,24148068,25894473,2006FAIL,5778982,27910249,29928737,2,2,,
1994,tt0109445,Clerks.,Kevin Smith,M,Kevin Smith,M,Brian O'Halloran,M,notalk,notalk,0,27000,3073428,3894240,1994FAIL,42435,4830398,6120440,5,3,,
1993,tt0106582,Cliffhanger,Renny Harlin,M,John Long,M,Sylvester Stallone,M,notalk,notalk,0,65000000,84049211,255000000,1993FAIL,104809829,135525899,411177020,5,3,,
1997,tt0118866,Clockwatchers,Jill Sprecher,F,Jill Sprecher,F,Toni Collette,F,ok,ok,1,2000000,537948,539961,1997PASS,2902476,780691,783612,4,3,,
2004,tt0376541,Closer,Mike Nichols,M,Patrick Marber,M,Natalie Portman,F,ok,ok,1,35000000,33987757,115476509,2004PASS,43161751,41913460,142404808,3,2,,
2012,tt1371111,Cloud Atlas,Tom Tykwer,M,David Mitchell,M,Tom Hanks,M,ok,ok,1,102000000,27108272,126018564,2012PASS,103493134,27505098,127863295,1,1,,
2009,tt0844471,Cloudy with a Chance of Meatballs,Phil Lord,M,Phil Lord,M,Anna Faris,F,notalk-disagree,notalk,0,100000000,124870275,236827677,2009FAIL,108573160,135575603,257131292,2,2,,
2013,tt1985966,Cloudy with a Chance of Meatballs 2,Cody Cameron,M,Erica Rivinoja,F,Bill Hader,M,nowomen-disagree,nowomen,0,78000000,119640264,271725448,2013FAIL,78000000,119640264,271725448,1,1,,
2008,tt1060277,Cloverfield,Matt Reeves,M,Drew Goddard,M,Mike Vogel,M,ok,ok,1,25000000,80048433,170764033,2008PASS,27056408,86632922,184810452,2,2,,
